Time,TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Plug,LogId
1900-01-01 13:25:51.191,0.13232,0.513666,0.622945,0,15
1900-01-01 13:25:52.191,0.131265,0.510043,0.618508,0,15
1900-01-01 13:25:53.191,0.132735,0.514795,0.622863,0,15
1900-01-01 13:25:54.191,0.132173,0.515104,0.62346,0,15
1900-01-01 13:25:55.191,0.131071,0.507182,0.614796,0,15
1900-01-01 13:25:56.191,0.131916,0.514543,0.622605,0,15
1900-01-01 13:25:57.191,0.130714,0.503743,0.611213,0,15
1900-01-01 13:25:58.191,0.129186,0.497075,0.60424,0,15
1900-01-01 13:25:59.191,0.131601,0.507507,0.614916,0,15
1900-01-01 13:26:00.191,0.131034,0.507365,0.614328,0,15
1900-01-01 13:26:01.191,0.132157,0.511471,0.619721,0,15
1900-01-01 13:26:02.191,0.133082,0.516942,0.625554,0,15
1900-01-01 13:26:03.191,0.133223,0.521646,0.630653,0,15
1900-01-01 13:26:04.191,0.130026,0.503344,0.609927,0,15
1900-01-01 13:26:05.191,0.13253,0.509297,0.618416,0,15
1900-01-01 13:26:06.191,0.133034,0.514249,0.623166,0,15
1900-01-01 13:26:07.191,0.132352,0.508578,0.616781,0,15
1900-01-01 13:26:08.191,0.13252,0.505228,0.613032,0,15
1900-01-01 13:26:09.191,0.132725,0.510505,0.618407,0,15
1900-01-01 13:26:10.191,0.131764,0.507481,0.614879,0,15
1900-01-01 13:26:11.191,0.127868,0.484862,0.589494,0,15
1900-01-01 13:26:12.191,0.124639,0.465084,0.566535,0,15
