Time,TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Plug,Plug_future,LogId
1900-01-01 16:32:41.717,0.070581,0.071644,0.125978,0,0,4
1900-01-01 16:32:42.717,0.071794,0.072174,0.12629,0,0,4
1900-01-01 16:32:43.717,0.071101,0.072137,0.12641,0,0,4
1900-01-01 16:32:44.717,0.071006,0.071838,0.126309,0,0,4
1900-01-01 16:32:45.717,0.071363,0.071843,0.126318,0,0,4
1900-01-01 16:32:46.717,0.070644,0.070888,0.126088,0,0,4
1900-01-01 16:32:47.717,0.0713,0.072347,0.125987,0,0,4
1900-01-01 16:32:48.717,0.071033,0.071812,0.126107,0,0,4
1900-01-01 16:32:49.717,0.071148,0.072305,0.126235,0,0,4
1900-01-01 16:32:50.717,0.071615,0.071675,0.126419,0,0,4
1900-01-01 16:32:51.717,0.070177,0.072416,0.126456,0,0,4
1900-01-01 16:32:52.717,0.071306,0.072358,0.126244,0,0,4
1900-01-01 16:32:53.717,0.071096,0.07103,0.126033,0,0,4
1900-01-01 16:32:54.717,0.070964,0.07146,0.126244,0,0,4
1900-01-01 16:32:55.717,0.070481,0.07136,0.126015,0,0,4
1900-01-01 16:32:56.717,0.071143,0.071948,0.126033,0,0,4
1900-01-01 16:32:57.717,0.072408,0.071864,0.126051,0,0,4
1900-01-01 16:32:58.717,0.071416,0.070993,0.126088,0,0,4
1900-01-01 16:32:59.717,0.070518,0.071639,0.125675,0,0,4
1900-01-01 16:33:00.717,0.071594,0.071612,0.12595,0,0,4
1900-01-01 16:33:01.717,0.071143,0.071565,0.125886,0,0,4
1900-01-01 16:33:02.717,0.07098,0.071969,0.126254,0,0,4
1900-01-01 16:33:03.717,0.070964,0.072221,0.126125,0,0,4
1900-01-01 16:33:04.717,0.071579,0.072783,0.126465,0,0,4
1900-01-01 16:33:05.717,0.071579,0.071933,0.126309,0,0,4
1900-01-01 16:33:06.717,0.071216,0.071969,0.126134,0,0,4
1900-01-01 16:33:07.717,0.071526,0.071534,0.126079,0,0,4
1900-01-01 16:33:08.717,0.071101,0.07177,0.126244,0,0,4
1900-01-01 16:33:09.717,0.07266,0.072221,0.125767,0,0,4
1900-01-01 16:33:10.717,0.072051,0.073035,0.126281,0,0,4
1900-01-01 16:33:11.717,0.071547,0.071885,0.126235,0,0,4
1900-01-01 16:33:12.717,0.071573,0.071649,0.126217,0,0,4
1900-01-01 16:33:13.717,0.071222,0.072368,0.12629,0,0,4
1900-01-01 16:33:14.717,0.070886,0.072216,0.126281,0,0,4
1900-01-01 16:33:15.717,0.070775,0.071618,0.126336,0,0,4
1900-01-01 16:33:16.717,0.071684,0.071959,0.12629,0,0,4
1900-01-01 16:33:17.717,0.071353,0.07145,0.126217,0,0,4
1900-01-01 16:33:18.717,0.070765,0.072405,0.12652,0,0,4
1900-01-01 16:33:19.717,0.07108,0.071644,0.125849,0,0,4
1900-01-01 16:33:20.717,0.071232,0.071192,0.126419,0,0,4
1900-01-01 16:33:21.717,0.071012,0.072221,0.126254,0,0,4
1900-01-01 16:33:22.717,0.070261,0.072395,0.126419,0,0,4
1900-01-01 16:33:23.717,0.070786,0.071644,0.126226,0,0,4
1900-01-01 16:33:24.717,0.071059,0.07136,0.125877,0,0,4
1900-01-01 16:33:25.717,0.071904,0.07136,0.126097,0,0,4
1900-01-01 16:33:26.717,0.072114,0.071618,0.126226,0,0,4
1900-01-01 16:33:27.717,0.072251,0.072494,0.126281,0,0,4
1900-01-01 16:33:28.717,0.070513,0.072043,0.126235,0,0,4
1900-01-01 16:33:29.717,0.071726,0.071896,0.12629,0,0,4
1900-01-01 16:33:30.717,0.0714,0.072794,0.126401,0,0,4
1900-01-01 16:33:31.717,0.071148,0.071985,0.125996,0,0,4
1900-01-01 16:33:32.717,0.071432,0.072489,0.126419,0,0,4
1900-01-01 16:33:33.717,0.070964,0.072106,0.126336,0,0,4
1900-01-01 16:33:34.717,0.071379,0.071303,0.12629,0,0,4
1900-01-01 16:33:35.717,0.071201,0.072127,0.126244,0,0,4
