Time,TS outlet pressure (Mean),Pump outlet pressure (Mean),Differential pressure (Mean),Flow rate (Mean),Tank temperature (Mean),Temperature TS inlet (Mean),Temperature TS outlet (Mean),Bypass temperature (Mean),Temperature TS outlet (Std Dev),Temperature TS inlet (Std Dev),Bypass temperature (Std Dev),Tank temperature (Std Dev),Differential pressure (Std Dev),Pressure before pump (Std Dev),Pressure after pump (Std Dev),Flow rate (Std Dev),Plug,Anomaly,Plug_future
1900-01-01 10:09:13.845,0.746683,0.000579,0.212707,1562.718344,5.477917,0.26673,0.103669,22.004199,0.26528,0.721435,0.255897,1.137751,0.016812,0.054536,0.005495,11.403592,0,0,0.0
1900-01-01 10:09:14.344,0.744741,0.000574,0.213139,1562.15889,5.477935,0.288083,0.102404,21.996541,0.252461,0.680325,0.25281,1.121905,0.017345,0.054503,0.005769,11.241447,0,0,0.0
1900-01-01 10:09:14.848,0.745345,0.000549,0.213214,1563.202313,5.436355,0.313368,0.106835,21.988922,0.258755,0.717778,0.252154,1.055528,0.01631,0.053191,0.005607,11.379009,0,0,0.0
1900-01-01 10:09:15.344,0.744367,0.000599,0.213264,1563.872538,5.452215,0.303682,0.127384,22.010079,0.24805,0.671082,0.249313,1.084037,0.017827,0.051768,0.005579,10.373221,0,0,0.0
1900-01-01 10:09:15.848,0.74646,0.000612,0.213269,1562.622317,5.482969,0.352171,0.131837,22.001945,0.246857,0.667018,0.232306,1.099175,0.017259,0.053185,0.00573,11.83026,0,0,0.0
1900-01-01 10:09:16.344,0.745701,0.000748,0.213097,1561.39156,5.462005,0.349197,0.135323,21.993405,0.260884,0.679296,0.24489,1.066537,0.01739,0.052667,0.00597,11.810564,0,0,0.0
1900-01-01 10:09:16.843,0.74632,0.0007,0.213139,1560.647128,5.437166,0.351737,0.14344,22.000224,0.263821,0.6667,0.247331,1.197566,0.016708,0.05513,0.005891,12.158583,0,0,0.0
1900-01-01 10:09:17.347,0.747304,0.000487,0.213761,1561.64942,5.441823,0.362848,0.162569,22.015489,0.249952,0.707786,0.241317,1.061495,0.015959,0.051953,0.005637,12.184757,0,0,0.0
1900-01-01 10:09:17.843,0.746463,0.000547,0.212949,1563.235658,5.435279,0.369838,0.158876,21.998698,0.241027,0.645448,0.260364,1.119054,0.017174,0.05112,0.006357,12.587317,0,0,0.0
1900-01-01 10:09:18.347,0.743157,0.000633,0.212813,1563.585859,5.495469,0.41285,0.175851,22.001424,0.244334,0.720547,0.268012,1.068724,0.018413,0.050193,0.005731,11.910026,0,0,0.0
1900-01-01 10:09:18.848,0.746246,0.000753,0.212641,1562.825321,5.473778,0.40258,0.187136,21.998087,0.241643,0.667037,0.247709,1.11345,0.017451,0.053365,0.005963,11.955004,0,0,0.0
1900-01-01 10:09:19.344,0.746209,0.00079,0.212801,1561.771786,5.509901,0.439964,0.204924,22.003727,0.281446,0.694372,0.250481,1.128115,0.017268,0.053518,0.006006,11.411569,0,0,0.0
1900-01-01 10:09:19.848,0.745085,0.000799,0.2113,1560.37717,5.488437,0.440455,0.199291,21.99882,0.259994,0.742276,0.241534,1.142159,0.017541,0.047881,0.005921,12.235314,0,0,0.0
1900-01-01 10:09:20.344,0.745245,0.000737,0.211189,1558.283209,5.451421,0.45293,0.213657,22.000021,0.250736,0.610121,0.245012,1.205595,0.017421,0.05218,0.005544,12.194212,0,0,0.0
1900-01-01 10:09:20.843,0.745004,0.000458,0.210598,1556.773237,5.456893,0.470629,0.233929,22.010747,0.258796,0.756396,0.247483,1.080222,0.017211,0.051356,0.005752,11.5082,0,0,0.0
1900-01-01 10:09:21.347,0.746335,0.00056,0.211974,1556.859773,5.453281,0.472487,0.230543,22.004029,0.270546,0.704185,0.246728,1.112546,0.017926,0.050431,0.005987,11.277765,0,0,0.0
1900-01-01 10:09:21.846,0.74633,0.000458,0.211445,1556.725994,5.440322,0.493776,0.248396,22.004696,0.250365,0.608919,0.238721,1.114674,0.016814,0.049786,0.005942,11.588974,0,0,0.0
1900-01-01 10:09:22.347,0.742882,0.000302,0.212568,1557.771724,5.459893,0.473054,0.250015,22.005161,0.268227,0.774407,0.247765,1.14271,0.017492,0.052205,0.005865,12.060359,0,0,0.0
1900-01-01 10:09:22.843,0.743859,0.000557,0.21193,1559.623507,5.452215,0.509296,0.263409,21.995257,0.246299,0.711279,0.254519,1.025711,0.017016,0.051298,0.005885,12.331408,0,0,0.0
1900-01-01 10:09:23.347,0.745553,0.000726,0.212722,1561.013295,5.446771,0.499051,0.270651,22.005852,0.238979,0.647892,0.256372,1.129717,0.018015,0.050433,0.006032,10.740228,0,0,0.0
1900-01-01 10:09:23.846,0.746867,0.000521,0.213397,1561.355766,5.471622,0.524551,0.295745,22.016798,0.272983,0.736181,0.242013,1.081443,0.016697,0.0541,0.005839,10.937075,0,0,0.0
1900-01-01 10:09:24.347,0.748132,0.000354,0.2131,1562.57123,5.407236,0.535406,0.296127,22.004375,0.265534,0.727678,0.250993,1.11947,0.01661,0.050185,0.005842,12.678065,0,0,0.0
1900-01-01 10:09:24.848,0.745135,0.000522,0.213008,1563.258218,5.455964,0.541693,0.311847,22.006734,0.229324,0.588313,0.248471,1.140685,0.016866,0.050895,0.005875,10.067793,0,0,0.0
1900-01-01 10:09:25.342,0.746442,0.000578,0.213676,1563.528102,5.456061,0.569963,0.322941,22.004314,0.259915,0.662468,0.244083,1.181062,0.017129,0.049873,0.005813,11.369368,0,0,0.0
1900-01-01 10:09:25.846,0.743335,0.000549,0.211993,1563.885212,5.425938,0.559209,0.326906,22.002727,0.267939,0.807611,0.238832,1.164865,0.016362,0.049546,0.005949,12.09193,0,0,0.0
1900-01-01 10:09:26.347,0.744244,0.000574,0.211761,1562.081868,5.461465,0.610595,0.344597,22.005948,0.263844,0.766542,0.233526,1.147066,0.016932,0.05156,0.005806,11.511224,0,0,0.0
1900-01-01 10:09:26.843,0.743838,0.000832,0.212097,1561.334526,5.445335,0.59821,0.338302,22.002139,0.246253,0.645178,0.254667,1.150507,0.017033,0.051076,0.005699,11.833968,0,0,0.0
1900-01-01 10:09:27.347,0.744772,0.000747,0.212594,1559.451047,5.420209,0.65791,0.350085,21.983192,0.266624,0.658045,0.253966,1.15273,0.017221,0.05052,0.005959,11.846126,0,0,0.0
